epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2113228738307953,1.9645285606384277,0.001,0.2177777737379074,1.9292500019073486
1,0.24103139340877533,1.830463171005249,0.001,0.18666666746139526,1.842713475227356
2,0.3329596519470215,1.7301892042160034,0.001,0.18444444239139557,1.8760648965835571
3,0.3256726562976837,1.7232238054275513,0.001,0.18888889253139496,1.8448882102966309
4,0.33015695214271545,1.7008944749832153,1.0000001e-05,0.18444444239139557,2.0641446113586426
5,0.35257846117019653,1.7003523111343384,0.001,0.24222221970558167,2.0399155616760254
6,0.35930493474006653,1.6840060949325562,0.001,0.18444444239139557,2.1897592544555664
7,0.347533643245697,1.681640386581421,1.0000001e-05,0.18444444239139557,2.1883444786071777
8,0.3699551522731781,1.6680173873901367,0.001,0.2177777737379074,2.1403298377990723
9,0.35706278681755066,1.6774507761001587,0.001,0.18444444239139557,2.0541067123413086
10,0.36547085642814636,1.662129521369934,1.0000001e-05,0.21111111342906952,2.02963924407959
11,0.36210763454437256,1.6636208295822144,0.001,0.2199999988079071,1.9477579593658447
12,0.35033631324768066,1.6632696390151978,0.001,0.25777778029441833,1.967486023902893
13,0.3682735562324524,1.6652566194534302,1.0000001e-05,0.2244444489479065,1.9757217168807983
14,0.3581838607788086,1.6607295274734497,0.001,0.2133333384990692,1.822008490562439
0,0.3151870369911194,1.7655065059661865,0.001,0.14269788563251495,1.8890033960342407
1,0.41764378547668457,1.490981101989746,0.001,0.17725752294063568,1.880435585975647
2,0.49944165349006653,1.267518162727356,0.001,0.2352285385131836,2.0457923412323
3,0.515354573726654,1.2090526819229126,0.001,0.5362318754196167,1.2383636236190796
4,0.5485762357711792,1.1252509355545044,0.001,0.44370123744010925,1.2860453128814697
5,0.5784478187561035,1.0430675745010376,0.001,0.5206242799758911,1.2240464687347412
6,0.6016191840171814,0.9868497252464294,0.001,0.4314381182193756,1.4948099851608276
7,0.5809603333473206,1.0545021295547485,0.001,0.3924191892147064,1.7117900848388672
8,0.607761025428772,0.9495751857757568,1.0000001e-05,0.37792640924453735,1.8552948236465454
9,0.6359575390815735,0.9066042304039001,0.001,0.49163880944252014,1.335605502128601
10,0.660804033279419,0.8379313349723816,0.001,0.6822742223739624,0.778127908706665
11,0.6577330827713013,0.8198081851005554,0.001,0.6989966630935669,0.7521572709083557
12,0.6708542704582214,0.7816823720932007,0.001,0.7123745679855347,0.7953177690505981
13,0.6686208844184875,0.7890461683273315,0.001,0.29542919993400574,50.03950119018555
14,0.6437744498252869,0.8911802172660828,1.0000001e-05,0.6243032217025757,1.1831471920013428
15,0.6890005469322205,0.7635645270347595,0.001,0.4960981011390686,1.1438759565353394
16,0.695142388343811,0.7373207211494446,0.001,0.6321070194244385,0.9142950773239136
17,0.712451159954071,0.7025359869003296,1.0000001e-05,0.654403567314148,0.8877548575401306
18,0.7146845459938049,0.6923035383224487,0.001,0.6031215190887451,0.9149548411369324
19,0.7208263278007507,0.6824132204055786,0.001,0.6399108171463013,0.8809178471565247
20,0.7241764664649963,0.6634276509284973,0.001,0.7235228419303894,0.7217937111854553
21,0.712451159954071,0.6821168661117554,0.001,0.5562987923622131,1.2382464408874512
0,0.7191513180732727,0.6808907389640808,0.001,0.736900806427002,0.6603132486343384
1,0.7372975945472717,0.6233034133911133,0.001,0.7290970087051392,0.7137806415557861
2,0.7255722880363464,0.637142539024353,0.001,0.5975473523139954,1.0604239702224731
3,0.7420435547828674,0.6103982925415039,0.001,0.7558528184890747,0.5892596244812012
4,0.7398101687431335,0.6107869148254395,0.001,0.7525083422660828,0.6579195857048035
5,0.7409268617630005,0.6014781594276428,0.001,0.7068004608154297,0.7173532247543335
6,0.7445561289787292,0.594609797000885,1.0000001e-05,0.7569676637649536,0.6510767936706543
7,0.750139594078064,0.5775969624519348,0.001,0.6967669725418091,0.80364990234375
8,0.7453936338424683,0.5927426218986511,0.001,0.6767001152038574,0.848016083240509
9,0.7453936338424683,0.5897240042686462,1.0000001e-05,0.6822742223739624,0.8683330416679382
10,0.7202680110931396,0.6899908781051636,0.001,0.6666666865348816,0.9189482927322388
11,0.7448353171348572,0.6084696054458618,0.001,0.782608687877655,0.6007193326950073
12,0.7484645247459412,0.5870755910873413,1.0000001e-05,0.7513935565948486,0.6208580732345581
13,0.7618649005889893,0.5622437000274658,0.001,0.7402452826499939,0.7021870613098145
14,0.7573981285095215,0.5590353608131409,0.001,0.7725752592086792,0.5739573836326599
15,0.767169177532196,0.5366040468215942,0.001,0.7681159377098083,0.5979347229003906
16,0.7646566033363342,0.5562000274658203,0.001,0.7625418305397034,0.6583216786384583
17,0.7604690194129944,0.5503585934638977,1.0000001e-05,0.7870680093765259,0.6022188067436218
18,0.7713567614555359,0.5358387231826782,0.001,0.7681159377098083,0.587699294090271
19,0.7783361077308655,0.5253883004188538,0.001,0.7513935565948486,0.6788145899772644
20,0.767169177532196,0.5519804358482361,1.0000001e-05,0.7491638660430908,0.6809574961662292
21,0.7719151377677917,0.5237770080566406,0.001,0.7603121399879456,0.687122106552124
22,0.770240068435669,0.5227850079536438,0.001,0.7290970087051392,0.6676804423332214
23,0.7721943259239197,0.5384525060653687,1.0000001e-05,0.780379056930542,0.6052534580230713
24,0.7643774151802063,0.539555013179779,0.001,0.7580825090408325,0.6461018919944763
25,0.7652149796485901,0.5310772061347961,0.001,0.7748048901557922,0.5969061255455017
26,0.767169177532196,0.5313680171966553,1.0000001e-05,0.7837235331535339,0.7334686517715454
27,0.766610860824585,0.5294198989868164,0.001,0.7268673181533813,0.7472622394561768
28,0.7889447212219238,0.5085553526878357,0.001,0.7681159377098083,0.6004915833473206
29,0.7895030975341797,0.5157689452171326,1.0000001e-05,0.7313266396522522,0.7467780113220215
0,0.33781513571739197,1.648212194442749,0.001,0.1879194676876068,1.839210867881775
1,0.4128851592540741,1.4541181325912476,0.001,0.19015659391880035,1.9583308696746826
